 |       | #it{tHq}      | #it{tWH}      | #it{tWZ}      | #it{t#bar{t}}      | #it{t#bar{t}W}      | #it{t#bar{t}Z}      | #it{t#bar{t}H}      | #it{tZq}      | #it{tW}      | Z+jets      | Diboson      | minor bkgs      | minor bkgs |
 | tHq NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 6 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 5 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 5 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 5 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 6 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 6 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 6 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 9 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 9 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 9 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tHq NNPDF 9 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JER EffectiveNP 3 |    NA    | -0.0084711 / 0.00846828 | 0 / 2.22045e-16 | -0.0151996 / 0.0151903 | -0.0510162 / 0.0509052 | 0.00608824 / -0.00608968 | 2.22045e-16 / 0 | 0 / -2.22045e-16 | 0.00687046 / -0.0068723 | -0.0418423 / 0.0417687 | 0 / 0 | -0.557836 / 0.531933 | -0.0333602 / 0.0333141 |
 | JES pileup offset NPV |    NA    | 0.0113294 / -0.0113315 | 0 / 0 | 0.0171067 / -0.0171112 | 0.0097604 / -0.00976183 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | -0.0140167 / 0.0140135 | 0.0152273 / -0.0152309 | 0 / 0 | 0.288613 / -0.289603 | -0.028691 / 0.0286778 |
 | JES relative non-closure AFII |    NA    | 0.00610405 / -0.00610434 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.014979 / -0.0149805 |
 | JES effective NP mixed 3 |    NA    | -0.00764757 / 0.00764753 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00558736 / -0.00558736 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JES effective NP modelling 2 |    NA    | 0.00676195 / -0.0067623 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00644156 / -0.00644184 |
 | JES effective NP stat. 4 |    NA    | 0.00630817 / -0.00630822 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00878752 / 0.00878752 | 0 / 0 | 0 / 0 | 0 / 0 |
 | b-tag Eigenvar. 1 |    NA    | -0.00497322 / 0.00497301 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0326052 / -0.0326124 | 0.00567603 / -0.00567626 |
 | c-tag Eigenvar. 17 |    NA    | 0.00558475 / -0.00558492 | 0.00500835 / -0.00500854 | 0 / 0 | 0 / 0 | 0.00513085 / -0.00513097 | 0.00546922 / -0.0054694 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00535766 / -0.00535786 |
 | light-tag Eigenvar. 0 |    NA    | -0.00747114 / 0.0074708 | -0.00822803 / 0.00822755 | -0.00794056 / 0.00794014 | -0.00917569 / 0.00917515 | -0.00787841 / 0.00787798 | -0.00758448 / 0.0075841 | -0.00576348 / 0.00576324 | -0.00725713 / 0.00725676 | -0.0220703 / 0.0220669 | -0.0215792 / 0.021576 | -0.0839016 / 0.0838516 | -0.0082547 / 0.00825422 |
 | Electron energy resolution |    NA    | -0.00732178 / 0.00732146 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00499991 / 0.00499974 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Tau energy scale (insitu exp.) |    NA    | -0.0138556 / 0.0138543 | 0 / 0 | 0 / 0 | 0.013099 / -0.0131002 | 0.00500064 / -0.00500075 | 0 / 0 | 0.0095844 / -0.00958497 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Tau energy scale (physicslist) |    NA    | -0.00942259 / 0.00942203 | 0 / 0 | 0 / 0 | 0.0118001 / -0.0118011 | 0.00931591 / -0.0093165 | 0 / 0 | 0.00694024 / -0.00694052 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0142922 / -0.0142934 |
 | Tau fake norm. |    NA    | 0.195678 / -0.196676 | 0.105181 / -0.105457 | 0 / 0 | 0 / 0 | 0.120325 / -0.120688 | 0.190703 / -0.191649 | 0.113383 / -0.113705 | 0.0331771 / -0.0332036 | 0 / 0 | 0.0839094 / -0.0840831 | 0.0465276 / -0.0465802 | 0.180174 / -0.181014 |
 | tWH XS |    NA    | 0.0903644 / -0.0914135 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tWH PS + had. |    NA    | -0.181089 / 0.180868 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tWH #mu_{F} scale |    NA    | 0.023736 / -0.0237397 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tWH #mu_{R} scale |    NA    | 0.0241604 / -0.0241644 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tWH PDF4LHC 5 |    NA    | -0.00671865 / 0.00671865 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Tau energy scale (detector) |    NA    | 0 / 0 | 0.00921716 / -0.00921775 | 0 / 0 | 0.0112832 / -0.011284 | 0.00641919 / -0.00641947 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00918859 / -0.00918916 |
 | RNN Tau ID syst. |    NA    | 0 / 0 | 0.0179201 / -0.0179223 | 0 / 0 | 0 / 0 | 0.0165437 / -0.0165456 | 0.0185893 / -0.0185918 | 0.017652 / -0.0176542 | 0 / 0 | 0 / 0 | 0.016129 / -0.0161308 | 0 / 0 | 0 / 0 |
 | tWZ XS |    NA    | 0 / 0 | 0.495628 / -0.497448 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tWZ (alt. DR) |    NA    | 0 / 0 | 0.208386 / -0.208678 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tWZ #mu_{R} scale |    NA    | 0 / 0 | 0.0134861 / -0.0134874 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tWZ #mu_{F} scale |    NA    | 0 / 0 | 0.0229354 / -0.0229389 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tWZ #mu_{R} scale |    NA    | 0 / 0 | 0.0364078 / -0.0364168 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JER DataVsMC MC16 |    NA    | 0 / 0 | 0 / 0 | -0.0215449 / 0.0215404 | -0.0641029 / 0.0640555 | 0.00708968 / -0.00709007 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | -0.0462313 / 0.0462082 | 2.22045e-16 / 0 | -0.870334 / 0.825203 | 0 / 0 |
 | MET soft reso (para.) |    NA    | 0 / 0 | 0 / 0 | 0.00619359 / -0.0061939 | -0.00746696 / 0.00746652 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00532134 / -0.00532156 | -0.0168381 / 0.0168359 |
 | t#bar{t} NLO gen. |    NA    | 0 / 0 | 0 / 0 | 0.0938875 / -0.0940318 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t} PS + had. |    NA    | 0 / 0 | 0 / 0 | -0.0534694 / 0.0534359 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t} #mu_{R} scale |    NA    | 0 / 0 | 0 / 0 | 0.0122741 / -0.0122754 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t} #mu_{F} scale |    NA    | 0 / 0 | 0 / 0 | 0.0103796 / -0.0103805 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t} #mu_{R} scale |    NA    | 0 / 0 | 0 / 0 | 0.0227543 / -0.0227612 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t} ISR |    NA    | 0 / 0 | 0 / 0 | 0.00636057 / -0.00636085 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t} FSR |    NA    | 0 / 0 | 0 / 0 | 0.0555751 / -0.0556025 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t} hdamp=3mtop |    NA    | 0 / 0 | 0 / 0 | 0.0114835 / -0.0114851 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JES pileup pT term |    NA    | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00878065 / -0.00878121 | -0.0254168 / 0.0254121 | 0 / 0 | 0 / 0 | -0.0137151 / 0.0137137 |
 | Muon energy scale |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | -0.00623556 / 0.00623552 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0145904 / 0.0145904 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}W XS |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0.129069 / -0.11924 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttW #mu_{R} scale |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0.0179239 / -0.017926 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttW #mu_{F} scale |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0.00764502 / -0.00764537 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttW #mu_{R} scale |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0.0327112 / -0.0327184 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}W NLO gen. + PS + had. |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | tZq XS |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0986598 / -0.118561 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NLO gen. + PS + had. |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0361608 / 0.0361492 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttZ #mu_{R} scale |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0115485 / -0.0115485 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttZ #mu_{F} scale |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0143777 / -0.0143777 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttZ #mu_{R} scale |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0258793 / -0.0258839 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z ISR |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0306932 / 0.0306871 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0106043 / -0.010605 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00587643 / -0.00587643 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 4 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00842541 / 0.00842541 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 5 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0104348 / -0.0104355 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 6 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00510308 / -0.00510308 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 7 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00532384 / 0.00532384 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 8 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00755684 / -0.00755684 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0126513 / -0.0126524 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00650304 / -0.00650304 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0181828 / -0.0181851 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 1 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00818568 / -0.00818568 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00729381 / 0.00729345 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00807265 / 0.00807221 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0120166 / 0.0120157 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0149057 / 0.0149042 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00521647 / 0.00521647 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0172384 / -0.0172404 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00668347 / -0.00668377 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 2 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0080638 / -0.0080638 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00667842 / 0.00667812 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00755616 / 0.00755616 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00688895 / 0.00688895 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0152796 / 0.0152781 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}Z NNPDF 3 |    NA    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00698701 / -0.00698701 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
